
Ruta del vehiculo 1:
Recorrido: [1, 50, 74, 37, 43, 52, 78, 4, 30]
Aristas: [(1,50,11.662), (50,74,9.22), (74,37,15.0), (37,43,9.22), (43,52,9.22), (52,78,5.0), (78,4,7.28), (4,30,15.0), (30,1,59.405)]
Costo asociado: 141.007      Capacidad: 98.0

Ruta del vehiculo 2:
Recorrido: [1, 41, 22, 2, 8, 11, 72]
Aristas: [(1,41,19.925), (41,22,12.166), (22,2,12.369), (2,8,6.708), (8,11,14.56), (11,72,8.062), (72,1,62.032)]
Costo asociado: 135.822      Capacidad: 97.0

Ruta del vehiculo 3:
Recorrido: [1, 14, 54, 67, 71, 68, 39, 59, 51, 77]
Aristas: [(1,14,22.204), (14,54,23.022), (54,67,8.062), (67,71,6.325), (71,68,6.325), (68,39,17.029), (39,59,5.385), (59,51,15.264), (51,77,7.071), (77,1,65.115)]
Costo asociado: 175.802      Capacidad: 100.0

Ruta del vehiculo 4:
Recorrido: [1, 75, 61, 40, 32, 18, 28, 6, 45]
Aristas: [(1,75,53.907), (75,61,8.062), (61,40,2.236), (40,32,12.0), (32,18,2.0), (18,28,9.0), (28,6,12.083), (6,45,5.0), (45,1,57.706)]
Costo asociado: 161.994      Capacidad: 96.0

Ruta del vehiculo 5:
Recorrido: [1, 63, 24, 13, 31, 7, 25, 35, 53]
Aristas: [(1,63,54.406), (63,24,8.602), (24,13,7.616), (13,31,18.028), (31,7,5.831), (7,25,4.0), (25,35,8.944), (35,53,10.05), (53,1,73.171)]
Costo asociado: 190.648      Capacidad: 98.0

Ruta del vehiculo 6:
Recorrido: [1, 64, 12, 29, 80, 49, 15, 9]
Aristas: [(1,64,58.694), (64,12,6.708), (12,29,14.213), (29,80,6.325), (80,49,10.817), (49,15,20.224), (15,9,46.141), (9,1,95.859)]
Costo asociado: 258.981      Capacidad: 98.0

Ruta del vehiculo 7:
Recorrido: [1, 73, 46, 23, 33, 5, 55, 34, 16, 42, 26]
Aristas: [(1,73,67.912), (73,46,15.62), (46,23,3.162), (23,33,10.0), (33,5,17.72), (5,55,38.079), (55,34,14.318), (34,16,7.071), (16,42,7.81), (42,26,4.243), (26,1,84.959)]
Costo asociado: 270.894      Capacidad: 95.0

Ruta del vehiculo 8:
Recorrido: [1, 65, 47, 76, 21, 58, 62, 17, 44, 69]
Aristas: [(1,65,71.847), (65,47,12.042), (47,76,18.111), (76,21,2.0), (21,58,11.18), (58,62,8.062), (62,17,7.071), (17,44,2.0), (44,69,7.81), (69,1,97.529)]
Costo asociado: 237.65200000000002      Capacidad: 99.0

Ruta del vehiculo 9:
Recorrido: [1, 60, 79, 38, 3, 19, 20]
Aristas: [(1,60,74.061), (60,79,15.033), (79,38,19.723), (38,3,2.0), (3,19,27.659), (19,20,78.339), (20,1,101.833)]
Costo asociado: 318.648      Capacidad: 98.0

Ruta del vehiculo 10:
Recorrido: [1, 56, 10, 57, 70, 48, 27, 36, 66]
Aristas: [(1,56,94.515), (56,10,11.402), (10,57,24.331), (57,70,5.657), (70,48,11.18), (48,27,15.0), (27,36,13.0), (36,66,11.18), (66,1,119.971)]
Costo asociado: 306.236      Capacidad: 63.0
--> Costo total: 2197.6839999999997          Capacidad total: 942.0
+-+-+-+-+-+-+-+-+-+-+-+-+ GRAFO CARGADO +-+-+-+-+-+-+-+-+-+-+-+-+-
        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80
Recorrido: [1, 73, 46, 5, 33, 23, 55, 34, 16, 42, 26]
Aristas: [(1,73,67.912), (73,46,15.62), (46,5,18.439), (5,33,17.72), (33,23,10.0), (23,55,22.361), (55,34,14.318), (34,16,7.071), (16,42,7.81), (42,26,4.243), (26,1,84.959)]
Costo asociado: 270.453      Capacidad: 95.0

Ruta del vehiculo 8:
Recorrido: [1, 65, 47, 76, 21, 58, 62, 17, 44, 69]
Aristas: [(1,65,71.847), (65,47,12.042), (47,76,18.111), (76,21,2.0), (21,58,11.18), (58,62,8.062), (62,17,7.071), (17,44,2.0), (44,69,7.81), (69,1,97.529)]
Costo asociado: 237.65200000000002      Capacidad: 99.0

Ruta del vehiculo 9:
Recorrido: [1, 60, 79, 38, 3, 19, 20]
Aristas: [(1,60,74.061), (60,79,15.033), (79,38,19.723), (38,3,2.0), (3,19,27.659), (19,20,78.339), (20,1,101.833)]
Costo asociado: 318.648      Capacidad: 98.0

Ruta del vehiculo 10:
Recorrido: [1, 56, 10, 57, 70, 48, 66, 36, 27]
Aristas: [(1,56,94.515), (56,10,11.402), (10,57,24.331), (57,70,5.657), (70,48,11.18), (48,66,16.643), (66,36,11.18), (36,27,13.0), (27,1,113.899)]
Costo asociado: 301.807      Capacidad: 63.0
--> Costo total: 2183.2929999999997          Capacidad total: 942.0

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+- Iteracion 26  +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-

Lista tabu: [((61,40,2.236),1), ((40,32,12.0),1), ((28,6,12.083),1), ((6,45,5.0),1), ((76,21,2.0),2), ((21,58,11.18),2), ((44,69,7.81),2), ((69,1,97.529),2), ((69,76,19.209),1), ((76,21,2.0),1), ((44,21,20.396),1), ((21,1,90.427),1), ((22,2,12.369),3), ((8,11,14.56),3), ((22,8,12.728),2), ((2,11,21.19),2), ((48,27,15.0),10), ((66,1,119.971),10), ((48,66,16.643),8), ((27,1,113.899),8), ((58,62,8.062),5), ((44,69,7.81),5), ((44,58,13.454),4), ((62,69,8.062),4), ((68,39,17.029),12), ((77,1,65.115),12), ((77,68,24.083),10), ((39,1,51.088),10), ((29,80,6.325),13), ((15,35,23.087),13), ((29,15,12.806),11), ((80,35,12.207),11), ((75,61,8.062),8), ((28,6,12.083),8), ((28,75,19.313),7), ((61,6,18.439),7), ((55,34,14.318),9), ((16,42,7.81),9), ((55,16,20.616),8), ((34,42,13.0),8)]

Ruta del vehiculo 1:
Recorrido: [1, 50, 74, 37, 43, 52, 78, 4, 30]
Aristas: [(1,50,11.662), (50,74,9.22), (74,37,15.0), (37,43,9.22), (43,52,9.22), (52,78,5.0), (78,4,7.28), (4,30,15.0), (30,1,59.405)]
Costo asociado: 141.007      Capacidad: 98.0

Ruta del vehiculo 2:
Recorrido: [1, 41, 22, 2, 8, 11, 72]
Aristas: [(1,41,19.925), (41,22,12.166), (22,2,12.369), (2,8,6.708), (8,11,14.56), (11,72,8.062), (72,1,62.032)]
Costo asociado: 135.822      Capacidad: 97.0

Ruta del vehiculo 3:
Recorrido: [1, 14, 54, 67, 71, 68, 77, 51, 59, 39]
Aristas: [(1,14,22.204), (14,54,23.022), (54,67,8.062), (67,71,6.325), (71,68,6.325), (68,77,24.083), (77,51,7.071), (51,59,15.264), (59,39,5.385), (39,1,51.088)]
Costo asociado: 168.829      Capacidad: 100.0

Ruta del vehiculo 4:
Recorrido: [1, 75, 61, 40, 32, 18, 28, 6, 45]
Aristas: [(1,75,53.907), (75,61,8.062), (61,40,2.236), (40,32,12.0), (32,18,2.0), (18,28,9.0), (28,6,12.083), (6,45,5.0), (45,1,57.706)]
Costo asociado: 161.994      Capacidad: 96.0

Ruta del vehiculo 5:
Recorrido: [1, 63, 24, 13, 31, 7, 25, 9]
Aristas: [(1,63,54.406), (63,24,8.602), (24,13,7.616), (13,31,18.028), (31,7,5.831), (7,25,4.0), (25,9,22.361), (9,1,95.859)]
Costo asociado: 216.70299999999997      Capacidad: 99.0

Ruta del vehiculo 6:
Recorrido: [1, 64, 12, 29, 15, 49, 80, 35, 53]
Aristas: [(1,64,58.694), (64,12,6.708), (12,29,14.213), (29,15,12.806), (15,49,20.224), (49,80,10.817), (80,35,12.207), (35,53,10.05), (53,1,73.171)]
Costo asociado: 218.89      Capacidad: 97.0

Ruta del vehiculo 7:
Recorrido: [1, 73, 46, 5, 33, 23, 55, 34, 16, 42, 26]
Aristas: [(1,73,67.912), (73,46,15.62), (46,5,18.439), (5,33,17.72), (33,23,10.0), (23,55,22.361), (55,34,14.318), (34,16,7.071), (16,42,7.81), (42,26,4.243), (26,1,84.959)]
Costo asociado: 270.453      Capacidad: 95.0

Ruta del vehiculo 8:
Recorrido: [1, 65, 47, 76, 21, 58, 62, 17, 44, 69]
Aristas: [(1,65,71.847), (65,47,12.042), (47,76,18.111), (76,21,2.0), (21,58,11.18), (58,62,8.062), (62,17,7.071), (17,44,2.0), (44,69,7.81), (69,1,97.529)]
Costo asociado: 237.65200000000002      Capacidad: 99.0

Ruta del vehiculo 9:
Recorrido: [1, 60, 79, 38, 3, 19, 20]
Aristas: [(1,60,74.061), (60,79,15.033), (79,38,19.723), (38,3,2.0), (3,19,27.659), (19,20,78.339), (20,1,101.833)]
Costo asociado: 318.648      Capacidad: 98.0

Ruta del vehiculo 10:
Recorrido: [1, 56, 10, 57, 70, 48, 66, 36, 27]
Aristas: [(1,56,94.515), (56,10,11.402), (10,57,24.331), (57,70,5.657), (70,48,11.18), (48,66,16.643), (66,36,11.18), (36,27,13.0), (27,1,113.899)]
Costo asociado: 301.807      Capacidad: 63.0
--> Costo total: 2174.407          Capacidad total: 942.0

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+- Iteracion 27  +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-

Lista tabu: [((76,21,2.0),1), ((21,58,11.18),1), ((44,69,7.81),1), ((69,1,97.529),1), ((22,2,12.369),2), ((8,11,14.56),2), ((22,8,12.728),1), ((2,11,21.19),1), ((48,27,15.0),9), ((66,1,119.971),9), ((48,66,16.643),7), ((27,1,113.899),7), ((58,62,8.062),4), ((44,69,7.81),4), ((44,58,13.454),3), ((62,69,8.062),3), ((68,39,17.029),11), ((77,1,65.115),11), ((77,68,24.083),9), ((39,1,51.088),9), ((29,80,6.325),12), ((15,35,23.087),12), ((29,15,12.806),10), ((80,35,12.207),10), ((75,61,8.062),7), ((28,6,12.083),7), ((28,75,19.313),6), ((61,6,18.439),6), ((55,34,14.318),8), ((16,42,7.81),8), ((55,16,20.616),7), ((34,42,13.0),7), ((29,15,12.806),9), ((35,53,10.05),9), ((35,29,12.042),8), ((15,53,13.416),8)]

Ruta del vehiculo 1:
Recorrido: [1, 50, 74, 37, 43, 52, 78, 4, 30]
Aristas: [(1,50,11.662), (50,74,9.22), (74,37,15.0), (37,43,9.22), (43,52,9.22), (52,78,5.0), (78,4,7.28), (4,30,15.0), (30,1,59.405)]
Costo asociado: 141.007      Capacidad: 98.0

Ruta del vehiculo 2:
Recorrido: [1, 41, 22, 2, 8, 11, 72]
Aristas: [(1,41,19.925), (41,22,12.166), (22,2,12.369), (2,8,6.708), (8,11,14.56), (11,72,8.062), (72,1,62.032)]
Costo asociado: 135.822      Capacidad: 97.0

Ruta del vehiculo 3:
Recorrido: [1, 14, 54, 67, 71, 68, 77, 51, 59, 39]
Aristas: [(1,14,22.204), (14,54,23.022), (54,67,8.062), (67,71,6.325), (71,68,6.325), (68,77,24.083), (77,51,7.071), (51,59,15.264), (59,39,5.385), (39,1,51.088)]
Costo asociado: 168.829      Capacidad: 100.0

Ruta del vehiculo 4:
Recorrido: [1, 75, 61, 40, 32, 18, 28, 6, 45]
Aristas: [(1,75,53.907), (75,61,8.062), (61,40,2.236), (40,32,12.0), (32,18,2.0), (18,28,9.0), (28,6,12.083), (6,45,5.0), (45,1,57.706)]
Costo asociado: 161.994      Capacidad: 96.0

Ruta del vehiculo 5:
Recorrido: [1, 63, 24, 13, 31, 7, 25, 9]
Aristas: [(1,63,54.406), (63,24,8.602), (24,13,7.616), (13,31,18.028), (31,7,5.831), (7,25,4.0), (25,9,22.361), (9,1,95.859)]
Costo asociado: 216.70299999999997      Capacidad: 99.0

Ruta del vehiculo 6:
Recorrido: [1, 64, 12, 29, 15, 49, 80, 35, 53]
Aristas: [(1,64,58.694), (64,12,6.708), (12,29,14.213), (29,15,12.806), (15,49,20.224), (49,80,10.817), (80,35,12.207), (35,53,10.05), (53,1,73.171)]
Costo asociado: 218.89      Capacidad: 97.0

Ruta del vehiculo 7:
Recorrido: [1, 73, 46, 5, 33, 23, 55, 34, 16, 42, 26]
Aristas: [(1,73,67.912), (73,46,15.62), (46,5,18.439), (5,33,17.72), (33,23,10.0), (23,55,22.361), (55,34,14.318), (34,16,7.071), (16,42,7.81), (42,26,4.243), (26,1,84.959)]
Costo asociado: 270.453      Capacidad: 95.0

Ruta del vehiculo 8:
Recorrido: [1, 65, 47, 76, 21, 58, 62, 17, 44, 69]
Aristas: [(1,65,71.847), (65,47,12.042), (47,76,18.111), (76,21,2.0), (21,58,11.18), (58,62,8.062), (62,17,7.071), (17,44,2.0), (44,69,7.81), (69,1,97.529)]
Costo asociado: 237.65200000000002      Capacidad: 99.0

Ruta del vehiculo 9:
Recorrido: [1, 60, 79, 38, 3, 19, 20]
Aristas: [(1,60,74.061), (60,79,15.033), (79,38,19.723), (38,3,2.0), (3,19,27.659), (19,20,78.339), (20,1,101.833)]
Costo asociado: 318.648      Capacidad: 98.0

Ruta del vehiculo 10:
Recorrido: [1, 56, 10, 57, 70, 48, 66, 36, 27]
Aristas: [(1,56,94.515), (56,10,11.402), (10,57,24.331), (57,70,5.657), (70,48,11.18), (48,66,16.643), (66,36,11.18), (36,27,13.0), (27,1,113.899)]
Costo asociado: 301.807      Capacidad: 63.0
--> Costo total: 2199.916          Capacidad total: 942.0

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+- Iteracion 28  +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-

Lista tabu: [((22,2,12.369),1), ((8,11,14.56),1), ((48,27,15.0),8), ((66,1,119.971),8), ((48,66,16.643),6), ((27,1,113.899),6), ((58,62,8.062),3), ((44,69,7.81),3), ((44,58,13.454),2), ((62,69,8.062),2), ((68,39,17.029),10), ((77,1,65.115),10), ((77,68,24.083),8), ((39,1,51.088),8), ((29,80,6.325),11), ((15,35,23.087),11), ((29,15,12.806),9), ((80,35,12.207),9), ((75,61,8.062),6), ((28,6,12.083),6), ((28,75,19.313),5), ((61,6,18.439),5), ((55,34,14.318),7), ((16,42,7.81),7), ((55,16,20.616),6), ((34,42,13.0),6), ((29,15,12.806),8), ((35,53,10.05),8), ((35,29,12.042),7), ((15,53,13.416),7), ((25,9,22.361),9), ((6,45,5.0),9), ((25,45,19.416),8), ((6,9,36.056),8)]

Ruta del vehiculo 1:
Recorrido: [1, 50, 74, 37, 43, 52, 78, 4, 30]
Aristas: [(1,50,11.662), (50,74,9.22), (74,37,15.0), (37,43,9.22), (43,52,9.22), (52,78,5.0), (78,4,7.28), (4,30,15.0), (30,1,59.405)]
Costo asociado: 141.007      Capacidad: 98.0

Ruta del vehiculo 2:
Recorrido: [1, 41, 22, 2, 8, 11, 72]
Aristas: [(1,41,19.925), (41,22,12.166), (22,2,12.369), (2,8,6.708), (8,11,14.56), (11,72,8.062), (72,1,62.032)]
Costo asociado: 135.822      Capacidad: 97.0

Ruta del vehiculo 3:
Recorrido: [1, 14, 54, 67, 71, 68, 77, 51, 59, 39]
Aristas: [(1,14,22.204), (14,54,23.022), (54,67,8.062), (67,71,6.325), (71,68,6.325), (68,77,24.083), (77,51,7.071), (51,59,15.264), (59,39,5.385), (39,1,51.088)]
Costo asociado: 168.829      Capacidad: 100.0

Ruta del vehiculo 4:
Recorrido: [1, 75, 61, 40, 32, 18, 28, 6, 45]
Aristas: [(1,75,53.907), (75,61,8.062), (61,40,2.236), (40,32,12.0), (32,18,2.0), (18,28,9.0), (28,6,12.083), (6,45,5.0), (45,1,57.706)]
Costo asociado: 161.994      Capacidad: 96.0

Ruta del vehiculo 5:
Recorrido: [1, 63, 24, 13, 31, 7, 25, 9]
Aristas: [(1,63,54.406), (63,24,8.602), (24,13,7.616), (13,31,18.028), (31,7,5.831), (7,25,4.0), (25,9,22.361), (9,1,95.859)]
Costo asociado: 216.70299999999997      Capacidad: 99.0

Ruta del vehiculo 6:
Recorrido: [1, 64, 12, 29, 15, 49, 80, 35, 53]
Aristas: [(1,64,58.694), (64,12,6.708), (12,29,14.213), (29,15,12.806), (15,49,20.224), (49,80,10.817), (80,35,12.207), (35,53,10.05), (53,1,73.171)]
Costo asociado: 218.89      Capacidad: 97.0

Ruta del vehiculo 7:
Recorrido: [1, 73, 46, 5, 33, 23, 55, 34, 16, 42, 26]
Aristas: [(1,73,67.912), (73,46,15.62), (46,5,18.439), (5,33,17.72), (33,23,10.0), (23,55,22.361), (55,34,14.318), (34,16,7.071), (16,42,7.81), (42,26,4.243), (26,1,84.959)]
Costo asociado: 270.453      Capacidad: 95.0

Ruta del vehiculo 8:
Recorrido: [1, 65, 47, 76, 21, 58, 62, 17, 44, 69]
Aristas: [(1,65,71.847), (65,47,12.042), (47,76,18.111), (76,21,2.0), (21,58,11.18), (58,62,8.062), (62,17,7.071), (17,44,2.0), (44,69,7.81), (69,1,97.529)]
Costo asociado: 237.65200000000002      Capacidad: 99.0

Ruta del vehiculo 9:
Recorrido: [1, 60, 79, 38, 3, 19, 20]
Aristas: [(1,60,74.061), (60,79,15.033), (79,38,19.723), (38,3,2.0), (3,19,27.659), (19,20,78.339), (20,1,101.833)]
Costo asociado: 318.648      Capacidad: 98.0

Ruta del vehiculo 10:
Recorrido: [1, 56, 10, 57, 70, 48, 66, 36, 27]
Aristas: [(1,56,94.515), (56,10,11.402), (10,57,24.331), (57,70,5.657), (70,48,11.18), (48,66,16.643), (66,36,11.18), (36,27,13.0), (27,1,113.899)]
Costo asociado: 301.807      Capacidad: 63.0
--> Costo total: 2184.5209999999997          Capacidad total: 942.0

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+- Iteracion 29  +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-

Lista tabu: [((48,27,15.0),7), ((66,1,119.971),7), ((48,66,16.643),5), ((27,1,113.899),5), ((58,62,8.062),2), ((44,69,7.81),2), ((44,58,13.454),1), ((62,69,8.062),1), ((68,39,17.029),9), ((77,1,65.115),9), ((77,68,24.083),7), ((39,1,51.088),7), ((29,80,6.325),10), ((15,35,23.087),10), ((29,15,12.806),8), ((80,35,12.207),8), ((75,61,8.062),5), ((28,6,12.083),5), ((28,75,19.313),4), ((61,6,18.439),4), ((55,34,14.318),6), ((16,42,7.81),6), ((55,16,20.616),5), ((34,42,13.0),5), ((29,15,12.806),7), ((35,53,10.05),7), ((35,29,12.042),6), ((15,53,13.416),6), ((25,9,22.361),8), ((6,45,5.0),8), ((25,45,19.416),7), ((6,9,36.056),7), ((75,61,8.062),9), ((32,18,2.0),9), ((75,32,12.728),8), ((61,18,10.05),8)]

Ruta del vehiculo 1:
Recorrido: [1, 50, 74, 37, 43, 52, 78, 4, 30]
Aristas: [(1,50,11.662), (50,74,9.22), (74,37,15.0), (37,43,9.22), (43,52,9.22), (52,78,5.0), (78,4,7.28), (4,30,15.0), (30,1,59.405)]
Costo asociado: 141.007      Capacidad: 98.0

Ruta del vehiculo 2:
Recorrido: [1, 41, 22, 2, 8, 11, 72]
Aristas: [(1,41,19.925), (41,22,12.166), (22,2,12.369), (2,8,6.708), (8,11,14.56), (11,72,8.062), (72,1,62.032)]
Costo asociado: 135.822      Capacidad: 97.0

Ruta del vehiculo 3:
Recorrido: [1, 14, 54, 67, 71, 68, 77, 51, 59, 39]
Aristas: [(1,14,22.204), (14,54,23.022), (54,67,8.062), (67,71,6.325), (71,68,6.325), (68,77,24.083), (77,51,7.071), (51,59,15.264), (59,39,5.385), (39,1,51.088)]
Costo asociado: 168.829      Capacidad: 100.0

Ruta del vehiculo 4:
Recorrido: [1, 75, 61, 40, 32, 18, 28, 6, 45]
Aristas: [(1,75,53.907), (75,61,8.062), (61,40,2.236), (40,32,12.0), (32,18,2.0), (18,28,9.0), (28,6,12.083), (6,45,5.0), (45,1,57.706)]
Costo asociado: 161.994      Capacidad: 96.0

Ruta del vehiculo 5:
Recorrido: [1, 63, 24, 13, 31, 7, 25, 9]
Aristas: [(1,63,54.406), (63,24,8.602), (24,13,7.616), (13,31,18.028), (31,7,5.831), (7,25,4.0), (25,9,22.361), (9,1,95.859)]
Costo asociado: 216.70299999999997      Capacidad: 99.0

Ruta del vehiculo 6:
Recorrido: [1, 64, 12, 29, 15, 49, 80, 35, 53]
Aristas: [(1,64,58.694), (64,12,6.708), (12,29,14.213), (29,15,12.806), (15,49,20.224), (49,80,10.817), (80,35,12.207), (35,53,10.05), (53,1,73.171)]
Costo asociado: 218.89      Capacidad: 97.0

Ruta del vehiculo 7:
Recorrido: [1, 73, 46, 5, 33, 23, 55, 34, 16, 42, 26]
Aristas: [(1,73,67.912), (73,46,15.62), (46,5,18.439), (5,33,17.72), (33,23,10.0), (23,55,22.361), (55,34,14.318), (34,16,7.071), (16,42,7.81), (42,26,4.243), (26,1,84.959)]
Costo asociado: 270.453      Capacidad: 95.0

Ruta del vehiculo 8:
Recorrido: [1, 65, 47, 76, 21, 58, 62, 17, 44, 69]
Aristas: [(1,65,71.847), (65,47,12.042), (47,76,18.111), (76,21,2.0), (21,58,11.18), (58,62,8.062), (62,17,7.071), (17,44,2.0), (44,69,7.81), (69,1,97.529)]
Costo asociado: 237.65200000000002      Capacidad: 99.0

Ruta del vehiculo 9:
Recorrido: [1, 60, 79, 38, 3, 19, 20]
Aristas: [(1,60,74.061), (60,79,15.033), (79,38,19.723), (38,3,2.0), (3,19,27.659), (19,20,78.339), (20,1,101.833)]
Costo asociado: 318.648      Capacidad: 98.0

Ruta del vehiculo 10:
Recorrido: [1, 56, 10, 57, 70, 48, 66, 36, 27]
Aristas: [(1,56,94.515), (56,10,11.402), (10,57,24.331), (57,70,5.657), (70,48,11.18), (48,66,16.643), (66,36,11.18), (36,27,13.0), (27,1,113.899)]
Costo asociado: 301.807      Capacidad: 63.0
--> Costo total: 2179.6620000000003          Capacidad total: 942.0

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+- Iteracion 30  +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-

Lista tabu: [((48,27,15.0),6), ((66,1,119.971),6), ((48,66,16.643),4), ((27,1,113.899),4), ((58,62,8.062),1), ((44,69,7.81),1), ((68,39,17.029),8), ((77,1,65.115),8), ((77,68,24.083),6), ((39,1,51.088),6), ((29,80,6.325),9), ((15,35,23.087),9), ((29,15,12.806),7), ((80,35,12.207),7), ((75,61,8.062),4), ((28,6,12.083),4), ((28,75,19.313),3), ((61,6,18.439),3), ((55,34,14.318),5), ((16,42,7.81),5), ((55,16,20.616),4), ((34,42,13.0),4), ((29,15,12.806),6), ((35,53,10.05),6), ((35,29,12.042),5), ((15,53,13.416),5), ((25,9,22.361),7), ((6,45,5.0),7), ((25,45,19.416),6), ((6,9,36.056),6), ((75,61,8.062),8), ((32,18,2.0),8), ((75,32,12.728),7), ((61,18,10.05),7), ((58,62,8.062),9), ((69,1,97.529),9), ((58,69,15.811),8), ((62,1,97.637),8)]

Ruta del vehiculo 1:
Recorrido: [1, 50, 74, 37, 43, 52, 78, 4, 30]
Aristas: [(1,50,11.662), (50,74,9.22), (74,37,15.0), (37,43,9.22), (43,52,9.22), (52,78,5.0), (78,4,7.28), (4,30,15.0), (30,1,59.405)]
Costo asociado: 141.007      Capacidad: 98.0

Ruta del vehiculo 2:
Recorrido: [1, 41, 22, 2, 8, 11, 72]
Aristas: [(1,41,19.925), (41,22,12.166), (22,2,12.369), (2,8,6.708), (8,11,14.56), (11,72,8.062), (72,1,62.032)]
Costo asociado: 135.822      Capacidad: 97.0

Ruta del vehiculo 3:
Recorrido: [1, 14, 54, 67, 71, 68, 77, 51, 59, 39]
Aristas: [(1,14,22.204), (14,54,23.022), (54,67,8.062), (67,71,6.325), (71,68,6.325), (68,77,24.083), (77,51,7.071), (51,59,15.264), (59,39,5.385), (39,1,51.088)]
Costo asociado: 168.829      Capacidad: 100.0

Ruta del vehiculo 4:
Recorrido: [1, 75, 61, 40, 32, 18, 28, 6, 45]
Aristas: [(1,75,53.907), (75,61,8.062), (61,40,2.236), (40,32,12.0), (32,18,2.0), (18,28,9.0), (28,6,12.083), (6,45,5.0), (45,1,57.706)]
Costo asociado: 161.994      Capacidad: 96.0

Ruta del vehiculo 5:
Recorrido: [1, 63, 24, 13, 31, 7, 25, 9]
Aristas: [(1,63,54.406), (63,24,8.602), (24,13,7.616), (13,31,18.028), (31,7,5.831), (7,25,4.0), (25,9,22.361), (9,1,95.859)]
Costo asociado: 216.70299999999997      Capacidad: 99.0

Ruta del vehiculo 6:
Recorrido: [1, 64, 12, 29, 15, 49, 80, 35, 53]
Aristas: [(1,64,58.694), (64,12,6.708), (12,29,14.213), (29,15,12.806), (15,49,20.224), (49,80,10.817), (80,35,12.207), (35,53,10.05), (53,1,73.171)]
Costo asociado: 218.89      Capacidad: 97.0

Ruta del vehiculo 7:
Recorrido: [1, 73, 46, 5, 33, 23, 55, 34, 16, 42, 26]
Aristas: [(1,73,67.912), (73,46,15.62), (46,5,18.439), (5,33,17.72), (33,23,10.0), (23,55,22.361), (55,34,14.318), (34,16,7.071), (16,42,7.81), (42,26,4.243), (26,1,84.959)]
Costo asociado: 270.453      Capacidad: 95.0

Ruta del vehiculo 8:
Recorrido: [1, 65, 47, 76, 21, 58, 62, 17, 44, 69]
Aristas: [(1,65,71.847), (65,47,12.042), (47,76,18.111), (76,21,2.0), (21,58,11.18), (58,62,8.062), (62,17,7.071), (17,44,2.0), (44,69,7.81), (69,1,97.529)]
Costo asociado: 237.65200000000002      Capacidad: 99.0

Ruta del vehiculo 9:
Recorrido: [1, 60, 79, 38, 3, 19, 20]
Aristas: [(1,60,74.061), (60,79,15.033), (79,38,19.723), (38,3,2.0), (3,19,27.659), (19,20,78.339), (20,1,101.833)]
Costo asociado: 318.648      Capacidad: 98.0

Ruta del vehiculo 10:
Recorrido: [1, 56, 10, 57, 70, 48, 66, 36, 27]
Aristas: [(1,56,94.515), (56,10,11.402), (10,57,24.331), (57,70,5.657), (70,48,11.18), (48,66,16.643), (66,36,11.18), (36,27,13.0), (27,1,113.899)]
Costo asociado: 301.807      Capacidad: 63.0
--> Costo total: 2189.6040000000003          Capacidad total: 942.0

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+- Iteracion 31  +-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-

Lista tabu: [((48,27,15.0),5), ((66,1,119.971),5), ((48,66,16.643),3), ((27,1,113.899),3), ((68,39,17.029),7), ((77,1,65.115),7), ((77,68,24.083),5), ((39,1,51.088),5), ((29,80,6.325),8), ((15,35,23.087),8), ((29,15,12.806),6), ((80,35,12.207),6), ((75,61,8.062),3), ((28,6,12.083),3), ((28,75,19.313),2), ((61,6,18.439),2), ((55,34,14.318),4), ((16,42,7.81),4), ((55,16,20.616),3), ((34,42,13.0),3), ((29,15,12.806),5), ((35,53,10.05),5), ((35,29,12.042),4), ((15,53,13.416),4), ((25,9,22.361),6), ((6,45,5.0),6), ((25,45,19.416),5), ((6,9,36.056),5), ((75,61,8.062),7), ((32,18,2.0),7), ((75,32,12.728),6), ((61,18,10.05),6), ((58,62,8.062),8), ((69,1,97.529),8), ((58,69,15.811),7), ((62,1,97.637),7), ((57,70,5.657),9), ((66,36,11.18),9), ((48,66,16.643),9), ((66,57,16.553),8), ((48,36,23.324),8), ((66,70,11.402),8)]

Ruta del vehiculo 1:
